,ente,população,estado_do_processo,data_adesao
,Iuiú,11.399 , 1 ,19/7/2016
,Jaborandi,9.056 , - , - 
,Jacaraci,15.459 , 1 ,22/7/2013
,Jacobina,83.635 , 1 ,27/7/2015
,Jaguaquara,56.033 , 1 ,3/5/2013
,Jaguararí,34.499 , - , - 
,Jaguaripe,19.036 , - , - 
,Jandaira,11.120 , 1 ,13/10/2017
,Jequié,162.209 , 1 ,3/6/2013
,Jeremoabo,41.605 , 1 ,3/5/2013
,Jequiriçá,15.106 , - , - 
,Jitaúna,12.692 , 1 ,24/4/2015
,João Dourado,25.646 , 1 ,8/6/2017
,Juazeiro,221.773 , 1 ,22/1/2013
,Jucuruçu,9.924 , - , - 
,Jussara,16.006 , - , - 
,Jussari,6.275 , - , - 
,Jussiape,7.066 , - , - 
,Lafaiete Coutinho,3.975 , 1 ,3/5/2013
,Lagoa Real,16.029 , - , - 
,Laje,24.306 , 1 ,14/6/2013
,Lajedão,4.068 , 1 ,21/8/2014
,Lajedinho,4.017 , 1 ,23/2/2015
,Lajedo do Tabocal,8.886 , 1 ,5/12/2014
,Lamarão,9.007 , 1 ,29/2/2016
,Lapão,28.244 , - , - 
,Lauro de Freitas,197.636 , 1 ,29/7/2013
,Lençóis,11.636 , - , - 
,Licínio de Almeida,12.969 , - , - 
,Livramento de N. Senhora,46.739 , - , - 
,Luis Eduardo Magalhães,83.557 , 1 ,3/12/2013
,Macajuba,11.879 , 1 ,22/3/2017
,Macarani,19.110 , 1 ,29/7/2013
,Macaúbas,50.987 , - , - 
,Mucururé,8.266 , - , - 
,Madre de Deus,21.007 , 1 ,6/9/2013
,Maetinga,4.456 , - , - 
,Maiquinique,10.274 , - , - 
,Mairi,19.695 , 1 ,3/4/2014
,Malhada,17.526 , 1 ,24/1/2018
,Malhada de Pedras,8.856 , 1 ,23/2/2015
,Manoel Vitorino,14.251 , - , - 
,Mansidão,13.959 , 1 ,7/7/2015
,Maracás,23.018 , 1 ,29/7/2013
,Maragogipe,46.260 , 1 ,3/5/2013
,Maraú,21.313 , - , - 
,Marcionílio Souza,10.931 , - , - 
,Mascote,14.728 , 1 ,25/11/2013
,Mata de São João,46.998 , 1 ,21/3/2013
,Matina,12.488 , - , - 
,Medeiros Neto,23.586 , 1 ,21/2/2018
,Miguel Camon,27.520 , - , - 
,Milagres,11.585 , 1 ,23/8/2018
,Mirangaba,18.729 , - , - 
,Mirante,9.578 , - , - 
,Monte Santo,51.953 , - , - 
,Morpará,8.950 , - , - 
,Morro do Chapéu,36.856 , 1 ,5/2/2014
,Mortugaba,12.529 , 1 ,16/8/2013
,Mucugê,9.957 , 1 ,3/5/2013
,Mucuri,42.072 , 1 ,7/5/2014
,Mulungu do Morro,11.988 , 1 ,3/12/2013
,Mundo Novo,27.364 , 1 ,2/10/2015
,Muniz Ferreira,7.678 , - , - 
,Muquém de São Francisco,11.644 , 1 ,16/6/2017
,Muritiba,30.631 , 1 ,3/5/2013
