NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],IDHM [2010],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Serra do Navio,1600055,serranaviense,ELSON BELO LOBATO,7713046,5306,0.56,709,16880,16698,12865.40,
Amapá,1600105,amapaense,CARLOS SAMPAIO DUARTE,9167617,9029,0.88,642,14953,12013,16519.72,
Pedra Branca do Amapari,1600154,pedrabrancanienses,ELIZABETH PELAES DOS SANTOS,9622290,15931,1.13,626,51121,50113,20478.70,
Calçoene,1600204,calçoenense,JONES FÁBIO NUNES CAVALCANTE,14231783,10926,0.63,643,18929,20434,14204.35,
Cutias,1600212,cutienses,RAIMUNDO BARBOSA AMANAJÁS FILHO,2179114,5864,2.22,628,Não informado,Não informado,12621.63,
Ferreira Gomes,1600238,ferreirense,JOÃO ÁLVARO ROCHA RODRIGUES,4973852,7591,1.15,656,25220,25027,49132.42,
Itaubal,1600253,itaubenses,VICTOR HUGO LOPES RODRIGUES,1622867,5387,2.50,576,11334.35206,10023.30834,12847.32,
Laranjal do Jari,1600279,laranjalense,MARCIO CLAY DA COSTA SERRÃO,30782998,49446,1.29,665,68127,70161,16741.38,
Macapá,1600303,macapaense,CLÉCIO LUÍS VILHENA VIEIRA,6503458,493634,62.14,733,836675,730153,19935.32,
Mazagão,1600402,mazaganistas,JOÃO DA SILVA COSTA,13294778,21206,1.30,592,32388.79674,39513.18921,11601.08,
Oiapoque,1600501,oiapoquenses,MARIA ORLANDA MARQUES GARCIA,22625286,26627,0.91,658,35541,38321,14199.00,
Porto Grande,1600535,portograndense,JOSE MARIA BESSA DE OLIVEIRA,4428013,21484,3.82,640,34387,38408,15672.35,
Pracuúba,1600550,pracuubense,BELIZE CONCEIÇÃO COSTA RAMOS,4948511,4993,0.77,614,10436,8420,13213.94,
Santana,1600600,santanenses,OFIRNEY DA CONCEIÇÃO SADALA,1541224,119610,64.11,692,162899,163130,15891.21,
Tartarugalzinho,1600709,tartarugalense ou tartaruguense,RILDO GOMES DE OLIVEIRA,6684705,16855,1.87,592,Não informado,Não informado,11948.74,
Vitória do Jari,1600808,vitorenses,RAIMUNDO DE ALCIMAR NEY DE SOUZA,2508979,15605,5.01,619,33997.46506,31169.36048,12472.79,
Alvarães,1300029,alvarãense,EDY RUBEM TOMAS BARBOZA,5923461,15860,2.38,527,34413.15681,26350.31678,9405.95,
Amaturá,1300060,amaturaense,JOAQUIM FRANCISCO DA SILVA CORADO,4754109,11332,1.99,560,28640,28695,5995.44,
Anamã,1300086,anamãense,RAIMUNDO PINHEIRO DA SILVA,2446121,13269,4.16,594,28006,22668,7533.21,
Anori,1300102,anoriense,JAMILSON RIBEIRO CARVALHO,6036380,20538,2.82,561,40990,35525,8972.25,
Apuí,1300144,apuiense,ADIMILSON NOGUEIRA,54245153,21583,0.33,637,38939,32865,8809.62,
Atalaia do Norte,1300201,atalaiense,NONATO DO NASCIMENTO TENAZOR,76435093,19438,0.20,450,48639,44193,9085.35,
Autazes,1300300,autazense,ANDRESON ADRIANO OLIVEIRA CAVALCANTE,7652851,38830,4.23,577,77152,67700,7621.23,
Barcelos,1300409,barcelense,EDSON DE PAULA RODRIGUES MENDES,122450769,27364,0.21,500,45272,33700,5697.67,
Barreirinha,1300508,barreirinhense,GLENIO JOSÉ MARQUES SEIXAS,5751765,31593,4.76,574,73847,61254,7059.80,
Benjamin Constant,1300607,benjamin-constantense,DAVID NUNES BEMERGUY,8695392,42020,3.80,574,94230,80057,6602.92,
Beruri,1300631,beruriense,MARIA LUCIR SANTOS DE OLIVEIRA,17472785,19258,0.90,506,49151,44788,6557.79,
Boa Vista do Ramos,1300680,boa-vistense,ERALDO TRINDADE DA SILVA,2589407,18781,5.79,565,39427,33466,6089.15,
Boca do Acre,1300706,bocacrense,JOSE MARIA SILVA DA CRUZ,21938592,33976,1.40,588,58849,52281,9115.38,
Borba,1300805,borbense,SIMÃO PEIXOTO LIMA,44236184,40565,0.79,560,82839,77976,6655.20,
Caapiranga,1300839,caapiranguense,ANTONIO FERREIRA LIMA,9455539,12877,1.16,569,29923.16035,29487.69821,11526.96,
Canutama,1300904,canutamense,OTANIEL LYRA DE OLIVEIRA,33642568,15450,0.43,530,34237,28869,6351.22,
Carauari,1301001,carauariense,BRUNO LUIS LITAIFF RAMALHO,25778658,28076,1.00,549,61010,52253,9371.46,
Careiro,1301100,careirense,NATHAN MACENA DE SOUZA,6096210,37384,5.37,557,68325,69100,6543.75,
Careiro da Várzea,1301159,careirense-da-várzea,PEDRO DUARTE GUEDES,2627474,29595,9.09,568,45407,40615,10321.25,
Coari,1301209,coariense,ADAIL JOSE FIGUEIREDO PINHEIRO,57970768,84272,1.31,586,252725,223234,13520.93,
Codajás,1301308,codajasense,ABRAHAM LINCOLN DIB BASTOS,18700713,28100,1.24,563,50541,42224,23736.94,
Eirunepé,1301407,eirunepeense,RAYLAN BARROSO DE ALENCAR,14966244,34840,2.04,563,66905,61168,11363.73,
Envira,1301506,envirense,IVON RATES DA SILVA,7505808,19668,2.18,509,44845,37464,7448.88,
Fonte Boa,1301605,fonte-boense,GILBERTO FERREIRA LISBOA,12155427,18221,1.88,530,54258,52828,7417.66,
Guajará,1301654,guajaraense,ORDEAN GONZAGA DA SILVA,7583720,16416,1.84,532,37942,32012,6834.22,
Humaitá,1301704,humaitaense,HERIVANEO VIEIRA DE OLIVEIRA,33111164,54001,1.34,605,105121,90641,9430.87,
Ipixuna,1301803,ipixunense,MARIA DO SOCORRO DE PAULA OLIVEIRA,12109777,28933,1.85,481,40728,34558,4533.95,
Iranduba,1301852,irandubense,FRANCISCO GOMES DA SILVA,2216817,47571,18.42,613,119021,105354,13618.27,
Itacoatiara,1301902,itacoatiarense,ANTONIO PEIXOTO DE OLIVEIRA,8891906,99955,9.77,644,196372,196160,20860.58,
Itamarati,1301951,itamaratiense,ANTONIO MAIA DA SILVA,25260429,7888,0.32,477,29464,26435,10320.44,
Itapiranga,1302009,itapiranguense,DENISE DE FARIAS LIMA,4335075,9064,1.94,654,25172,22288,11123.21,
Japurá,1302108,japuraense,GRACINEIDE LOPES DE SOUZA,55827207,3265,0.13,522,32836,30170,12701.43,
Juruá,1302207,juruaense,JOSE MARIA RODRIGUES DA ROCHA JUNIOR,19442548,14312,0.56,522,32668,29849,6535.08,
Jutaí,1302306,jutaiense,PEDRO MACARIO BARBOZA,69457416,14753,0.26,516,55123,50414,12223.50,
Lábrea,1302405,labrense,GEAN CAMPOS DE BARROS,68262696,45245,0.55,531,84398,78810,9841.76,
Manacapuru,1302504,manacapuruense,BETANAEL DA SILVA DANGELO,7336579,96236,11.62,614,169816,165592,13027.29,
Manaquiri,1302553,manaquirense,JAIR AGUIAR SOUTO,3973259,31147,5.73,596,48651,41658,8518.37,
Manaus,1302603,manauara,ARTHUR VIRGILIO DO CARMO RIBEIRO NETO,11401092,2145444,158.06,737,4743521,4366978,33564.11,
Manicoré,1302702,manicoreense,MANUEL SEBASTIÃO PIMENTEL DE MEDEIROS,48315022,54907,0.97,582,94784,84089,8859.52,
Maraã,1302801,maraãense,LUIZ MAGNO PRAIANO MORAES,16830827,18186,1.04,498,48991,45762,7805.40,
Maués,1302900,maueense,CARLOS ROBERTO DE OLIVEIRA JÚNIOR,39991067,62755,1.31,588,130890,122928,6481.40,
Nhamundá,1303007,nhamundaense,GLEDSON HADSON PAULAIN MACHADO,14107972,20899,1.30,586,44772,38287,6462.02,
Nova Olinda do Norte,1303106,olindense,ADENILSON LIMA REIS,5578132,36721,5.47,558,64597,59157,5861.52,
Novo Airão,1303205,novo-airãoense,WILTON PEREIRA DOS SANTOS,37805257,18974,0.39,570,39099,34646,6650.15,
Novo Aripuanã,1303304,novo-aripuanaense,JOCIONE DO SANTOS SOUZA,41179656,25237,0.52,554,43206,37837,6757.82,
Parintins,1303403,parintinense,FRANK LUIZ DA CUNHA GARCIA,5956373,113168,17.14,658,182766,180031,9092.68,
Pauini,1303502,pauiniense,ELIANA OLIVEIRA AMORIM,41624668,19329,0.44,496,39496,35561,7226.48,
Presidente Figueiredo,1303536,figueiredense,ROMEIRO JOSE COSTEIRA DE MENDONCA,25412265,35352,1.07,647,190135,155031,16206.55,
Rio Preto da Eva,1303569,rio-pretense,ANDERSON JOSÉ DE SOUZA,5815622,32577,4.42,611,72278,74627,14234.32,
